config_id,repeat_id,error_mode,forward_eps,grad_eps,layer_types,final_loss
-1,0,none,0.0,0.0,[],2.332417
0,0,both,0.0001,0.0001,none,2.332416
1,0,both,0.0001,0.0001,MLP,2.332417
2,0,both,0.0001,0.0001,LayerNorm,2.332419
3,0,both,0.0001,0.0001,CausalSelfAttention,2.332414
4,0,both,0.001,0.001,none,2.332419
5,0,both,0.001,0.001,MLP,2.332417
6,0,both,0.001,0.001,LayerNorm,2.33242
7,0,both,0.001,0.001,CausalSelfAttention,2.332417
8,0,both,0.01,0.01,none,2.33242
9,0,both,0.01,0.01,MLP,2.332415
10,0,both,0.01,0.01,LayerNorm,2.332416
11,0,both,0.01,0.01,CausalSelfAttention,2.332417
0,1,both,0.0001,0.0001,none,2.332416
0,2,both,0.0001,0.0001,none,2.332417
0,3,both,0.0001,0.0001,none,2.332415
0,4,both,0.0001,0.0001,none,2.332416
0,5,both,0.0001,0.0001,none,2.332418
0,6,both,0.0001,0.0001,none,2.332417
0,7,both,0.0001,0.0001,none,2.332419
0,8,both,0.0001,0.0001,none,2.332417
0,9,both,0.0001,0.0001,none,2.332418
1,1,both,0.0001,0.0001,MLP,2.332419
1,2,both,0.0001,0.0001,MLP,2.332417
1,3,both,0.0001,0.0001,MLP,2.332414
1,4,both,0.0001,0.0001,MLP,2.33242
1,5,both,0.0001,0.0001,MLP,2.332417
1,6,both,0.0001,0.0001,MLP,2.332418
1,7,both,0.0001,0.0001,MLP,2.332416
1,8,both,0.0001,0.0001,MLP,2.332417
1,9,both,0.0001,0.0001,MLP,2.332418
2,1,both,0.0001,0.0001,LayerNorm,2.332417
2,2,both,0.0001,0.0001,LayerNorm,2.332418
2,3,both,0.0001,0.0001,LayerNorm,2.332419
2,4,both,0.0001,0.0001,LayerNorm,2.332419
2,5,both,0.0001,0.0001,LayerNorm,2.332418
2,6,both,0.0001,0.0001,LayerNorm,2.332419
2,7,both,0.0001,0.0001,LayerNorm,2.332417
2,8,both,0.0001,0.0001,LayerNorm,2.332417
2,9,both,0.0001,0.0001,LayerNorm,2.332415
3,1,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,2,both,0.0001,0.0001,CausalSelfAttention,2.332415
3,3,both,0.0001,0.0001,CausalSelfAttention,2.332419
3,4,both,0.0001,0.0001,CausalSelfAttention,2.332419
3,5,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,6,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,7,both,0.0001,0.0001,CausalSelfAttention,2.332417
3,8,both,0.0001,0.0001,CausalSelfAttention,2.332416
3,9,both,0.0001,0.0001,CausalSelfAttention,2.332417
4,1,both,0.001,0.001,none,2.332418
4,2,both,0.001,0.001,none,2.332418
4,3,both,0.001,0.001,none,2.332418
4,4,both,0.001,0.001,none,2.332415
4,5,both,0.001,0.001,none,2.332417
4,6,both,0.001,0.001,none,2.332418
4,7,both,0.001,0.001,none,2.332415
4,8,both,0.001,0.001,none,2.332416
4,9,both,0.001,0.001,none,2.332417
5,1,both,0.001,0.001,MLP,2.332415
5,2,both,0.001,0.001,MLP,2.332416
5,3,both,0.001,0.001,MLP,2.332418
5,4,both,0.001,0.001,MLP,2.332417
5,5,both,0.001,0.001,MLP,2.332416
5,6,both,0.001,0.001,MLP,2.332417
5,7,both,0.001,0.001,MLP,2.332418
5,8,both,0.001,0.001,MLP,2.332415
5,9,both,0.001,0.001,MLP,2.33242
6,1,both,0.001,0.001,LayerNorm,2.332421
6,2,both,0.001,0.001,LayerNorm,2.332414
6,3,both,0.001,0.001,LayerNorm,2.332416
6,4,both,0.001,0.001,LayerNorm,2.332415
6,5,both,0.001,0.001,LayerNorm,2.332416
6,6,both,0.001,0.001,LayerNorm,2.332418
6,7,both,0.001,0.001,LayerNorm,2.332415
6,8,both,0.001,0.001,LayerNorm,2.332416
6,9,both,0.001,0.001,LayerNorm,2.332417
7,1,both,0.001,0.001,CausalSelfAttention,2.332418
7,2,both,0.001,0.001,CausalSelfAttention,2.332415
7,3,both,0.001,0.001,CausalSelfAttention,2.332416
7,4,both,0.001,0.001,CausalSelfAttention,2.332417
7,5,both,0.001,0.001,CausalSelfAttention,2.332416
7,6,both,0.001,0.001,CausalSelfAttention,2.332417
7,7,both,0.001,0.001,CausalSelfAttention,2.332418
7,8,both,0.001,0.001,CausalSelfAttention,2.332418
7,9,both,0.001,0.001,CausalSelfAttention,2.332416
8,1,both,0.01,0.01,none,2.332419
8,2,both,0.01,0.01,none,2.332417
8,3,both,0.01,0.01,none,2.332417
8,4,both,0.01,0.01,none,2.332414
8,5,both,0.01,0.01,none,2.332416
8,6,both,0.01,0.01,none,2.332414
8,7,both,0.01,0.01,none,2.33242
8,8,both,0.01,0.01,none,2.332417
8,9,both,0.01,0.01,none,2.332418
9,1,both,0.01,0.01,MLP,2.332418
9,2,both,0.01,0.01,MLP,2.332417
9,3,both,0.01,0.01,MLP,2.332416
9,4,both,0.01,0.01,MLP,2.332418
9,5,both,0.01,0.01,MLP,2.332414
9,6,both,0.01,0.01,MLP,2.332419
9,7,both,0.01,0.01,MLP,2.332421
9,8,both,0.01,0.01,MLP,2.332418
9,9,both,0.01,0.01,MLP,2.332418
10,1,both,0.01,0.01,LayerNorm,2.332417
10,2,both,0.01,0.01,LayerNorm,2.332421
10,3,both,0.01,0.01,LayerNorm,2.332418
10,4,both,0.01,0.01,LayerNorm,2.332417
10,5,both,0.01,0.01,LayerNorm,2.332417
10,6,both,0.01,0.01,LayerNorm,2.332417
